# mapping fingerprint to device info
# Name, Manufacturer, Type, SubType, Model, Dynamic Model?
3COM Switch,3COM,Network,Switch,NA,0
3COM WAP,3COM,Network,WAP,NA,0
3eTI AirGuard WAP,3eTI,Network,WAP,NA,0
ACURITE Weather Station,Chaney Instrument Co,scada,remote measurement,NA,0
ADIC Scalar NAS,ADIC,storage,NAS,NA,0
Adobe RoboHelp,Adobe,Generic,Web Application,NA,0
Allied Telesis Switch,Allied Telesis,Network,Switch,NA,0
Amanda Smart Network Telephony,Amanda,VOIP,server,NA,0
American Dynamics Video,American Dynamics,Output,Video,NA,0
American Megatrends MegaRac,American Megatrends,Remote,ILOM,NA,0
Andover Controls Continuum Server,Andover,Remote,Control,NA,0
AND Speaker,Advanced Network Devices,Output,Speaker,NA,0
Apache No Index,Apache,Generic,Webpage,NA,0
Apache Tomcat/Coyote,Apache,Generic,Generic,NA,0
Apache Web Server,Apache,Generic,Webpage,,1
APC InfraStruXure,APC,power,remote,NA,0
APC NetBotz Environmental Monitoring,APC,Remote,Environmental Monitor,NA,0
APC UPS,APC,power,remote,NA,0
Apple Embedded Web Server,Apple,Generic,Webpage,NA,0
AtHoc IWSAlerts Management System,AtHoc,Generic,Alert Management System,NA,0
Audiocodes VOIP (SIP gateway),Audiocodes,VOIP,gateway,NA,0
Avaya Communications Manager,Avaya,voip,call manager,NA,0
Avocent DSView,Cyclades,Remote,Console,,1
Avocent DAC Explorer,Cyclades,Remote,Console,NA,0
AVTECH TemPageR,AVTECH,Remote,Environmental Monitor,NA,0
AXIS StorPoint CD NAS,Axis,Storage,NAS,NA,0
AXIS Webcam,Axis,Output,Web Camera,NA,0
AXIS Communications Print Server,Axis Communications,Output,Printer,NA,0
BlueCoat Packet Shaper,BlueCoat,network,packet shaper,NA,0
BlueCat Proteus IP Manager,BlueCat,Application,IP Manager,NA,0
Bosch WebDVR,Bosch,Output,DVR,NA,0
Bosch Dibos CCTV,Bosch,video,CCTV,NA,0
Bosch Divar CCTV,Bosch,video,CCTV,NA,0
Bosch Video Control System,Bosch,video,control system,NA,0
Brocade FastIron Switch,Brocade,Network,Switch,NA,0
Brocade Mobility WAP,Brocade,Network,WAP,NA,0
Brother Printer,Brother,Output,Printer,NA,0
Buffalo LinkStation,Buffalo,Storage,NAS,NA,0
Buffalo PCAST media server,Buffalo,Output,DVR,NA,0
Buffalo TeraStation,Buffalo,Storage,NAS,NA,0
Buffalo TeraStation Pro,Buffalo,Storage,NAS,NA,0
Buffalo WAP,Buffalo,Network,WAP,NA,0
CA Unicenter Service Desk on Apache-Coyote,CA,Generic,Web Application,NA,0
CA Unified Communications Monitor,CA,Generic,Web Application,NA,0
CA EHealth,CA,Application,Network Health,NA,0
Cabletron Switch,Cabletron,Network,Switch,NA,0
Campbell SCI Monitor,Campbell SCI,scada,monitor,NA,0
Canon Copier,Canon,Output,Copier,NA,0
Canon Fiery Printer,Canon,Output,Printer,NA,0
Canon MFD,Canon,Output,Copier,NA,0
CheckPoint Firewall,Checkpoint,Network,Firewall,NA,0
Cisco ASDM,Cisco,Application,Device Manager,NA,0
Cisco ATA,Cisco,VOIP,phone,NA,0
Cisco Camera,Cisco,Video,Camera,NA,0
Cisco Call Manager,Cisco,voip,Call Manager,NA,0
Cisco CIUS,Cisco,Mobile,Tablet,NA,0
Cisco Digital Media Player,Cisco,Video,DVR,NA,0
Cisco Emergency Responder,Cisco,Network,Emergency Responder,NA,0
Cisco IP Phone,Cisco,voip,phone,NA,0
Cisco IP VTC,Cisco,Network,VTC,NA,0
Cisco IP Teleconferencing,Cisco,VOIP,bridge,NA,0
Cisco IPVC,Cisco,Video,VTC,NA,0
Cisco MDS,Cisco,Network,SAN,NA,0
Cisco Network Bridge,Cisco,Network,L2,NA,0
Cisco Network Device,Cisco,Network,L3,NA,0
Cisco Network Device - Nexus,Cisco,Network,SAN,NA,0
Cisco Network Device - Cisco Device Manager,Cisco,Network,L3,NA,0
Cisco Network Device - SB,Cisco,Network,L3,NA,0
Cisco Media Termination Point,Cisco,VOIP,relay,NA,0
Cisco TelePresence,Cisco,video,vtc,NA,0
Cisco UCS Manager,Cisco,application,network manager,NA,0
Cisco Unity Express,Cisco,VOIP,Call Manager,NA,0
Cisco Unity Server,Cisco,VOIP,Call Manager,NA,0
Cisco VPN Concentrator,Cisco,Network,VPN,NA,0
Cisco WAP,Cisco,Network,WAP,NA,0
Cisco Wireless Control System,Cisco,Network,WAP,NA,0
CiscoWorks NCM,Cisco,Application,Network Manager,NA,0
Cisco Communications Manager,Cisco,VOIP,Call Manager,NA,0
Citrix Server,Citrix,out of band,console,NA,0
Citrix Xen,Citrix,out of band,console,NA,0
ControlByWeb X-320 Remote Sensing,ControlByWeb,scada,remote measurement,NA,0
ControlLogics DVR,ControlLogics,video,dvr,NA,0
Creston E-Control,Creston,scada,unknown,NA,0
Cyclades Avocent Switch,Cyclades,Network,Switch,NA,0
Cyclades Out-of-band Management,Cyclades,out of band,Console,NA,0
Dedicated Micros Camera,Dedicated Micros,video,camera,NA,0
Default Apache web page,Apache,Generic,Webpage,,1
Default OSX Apache web page,Apache,Generic,Webpage,NA,0
Dell Color Laser Printer,Dell,Output,Printer,NA,0
Dell Chassis Management Controller,Dell,out of band,ILOM,NA,0
Dell EqualLogic SAN,Dell,storage,SAN,NA,0
Dell ILOM,Dell,out of band,ILOM,NA,0
Dell KVM,Dell,out of band,kvm,NA,0
Dell Laser Printer,Dell,Output,Printer,NA,0
Dell NAS,Dell,storage,nas,NA,0
Dell Network Switch,Dell,Switch,Network,NA,0
Dell PowerVault Tape Library,Dell,Storage,SAN,NA,0
Dell Remote Access Controller,Dell,out of band,ILOM,NA,0
Digi One Print Server,Digi,Output,Printer,NA,0
Digi One Connect SP,Digi,Network,WAP,NA,0
Digi Switch,Digi,Network,Switch,NA,0
Digiop WebAgent Camera,Digiop,video,camera,NA,0
DigiTech Papervision,DigiTech,Storage,Document Management,NA,0
DYMO Label Writer,DYMO,Output,Printer,NA,0
D-Link WAP,D-Link,Network,WAP,NA,1
D-Link Print Server,D-Link,Output,Server,NA,0
Eaton UPS,Eaton,Power,Remote,NA,0
EMC Navisphere Express,Navisphere,storage,NAS,NA,0
EMC NAVISPHERE,EMC,storage,SAN,NA,0
EMC Unisphere,EMC,storage,NAS,NA,0
Emerson AMX Controller,Emerson,scada,controller,NA,0
Emerson Network Power,Emerson,Power,Remote,NA,0
EndRun Technologies NTP Appliance,EndRun Technologies,server,NTP,NA,0
Epson Printer,Epson,Output,Printer,NA,0
Epson Workforce MFD,Epson,Output,MFD,NA,0
EpsonNet Printer,Epson,Output,Printer,NA,0
Extendnet Print Server,Extended Solutions,Output,Printer,NA,0
Extron TLP 710TV,Extron,video,webcam,NA,0
FabricOS Switch Explorer,FabricOS,Network,SAN,NA,0
Foundry Network Device,Foundry,Network,Switch,NA,0
GMaCi Power,Gamatronics,scada,power,NA,0
GigaMon G-Vue Tap,GigaMon,network,tap,NA,0
Google Earth Appliance,Google,Generic,Web Application,NA,0
Google Search Appliance,Google,Generic,Web Application,NA,0
Google Search Appliance Admin Interface,Google,Generic,Web Administration,NA,0
Hewlett-Packard Switch,HP,Network,SAN,NA,0
HikVision DVR,HikVision,video,DVR,NA,0
Hitachi Storage Manager,Hitachi,Storage,SAN,NA,0
