# fingerprint file for http/default_scanner
# RE: 0 (none) 1 (yes/basic) 2 (yes/case insensitive) 3 (multiple entries) 4 (yes/basic/negated)
# server, RE?, Realm, RegExp?, path/file, RE?, title, RE?, body, RE?, Name
Acme.Serve,1,NA,0,NA,0,NA,0,NA,0,APC InfraStruXure
Agent-ListenServer-HttpSvr,1,NA,0,NA,0,NA,0,^\<\?xml version\x00href=\x22FrameworkLog.xsl\x22\?\>\<naLog\>,3,McAfee Epolicy Orchestrator
Agranat-EmWeb\/R5_2_\d,1,NA,0,NA,0,NA,0,NA,0,HP Printer 2
Agranat-EmWeb\/R5_2_\d,1,NA,0,NA,0,DigitalSender,1,NA,0,HP Scanner 1
Agranat-EmWeb\/R5_2_\d,1,NA,0,NA,0,^\w\w\-\w{1\x2c2}\d{1\x2c3},1,NA,0,Sharp Printer 1
Agranat-EmWeb\/R5_2_\d,1,NA,0,NA,0,INDEX PAGE,1,NA,0,Sharp Printer 1
Agranat-EmWeb\/R5_2_\d,1,NA,0,NA,0,\s-\s\w\w\-\d\d\d\d\w,1,NA,0,Sharp Printer 2
Agranat-EmWeb\/R5_2_\d,1,NA,0,NA,0,TOP PAGE,1,NA,0,Sharp Printer 3
Agranat-EmWeb\/R4_02,1,NA,0,NA,0,NA,0,NA,0,3COM Switch
Agranat-EmWeb\/,1,NA,0,NA,0,Module Home Page,1,NA,0,Cabletron Switch
Allegro-software-rompager\/2\.10,2,NA,0,/,0,superstack\sii\s,2,NA,0,3COM Switch 2
Allegro-Software-RomPager\/3\.12,1,NA,0,NA,0,^Digi One SP,1,NA,0,Digi One Print Server
Allegro-Software-RomPager\/3\.12,1,NA,0,NA,0,Cisco Systems,1,(Cisco Catalyst.\x2aGateway),1,Cisco IP Phone
Allegro-Software-RomPager\/3\.12,1,NA,0,NA,0,Cisco Systems,1,HREF\=\x22\/gatewaypage\?2,1,Cisco IP Phone
Allegro-Software-RomPager\/3\.12,1,NA,0,NA,0,Cisco Systems,1,Cisco IP Phone,1,Cisco IP Phone
Allegro-Software-RomPager\/3\.12,1,NA,0,NA,0,Cisco Systems,1,Cisco Media Termination Point Hardware,1,Cisco Media Termination Point
Allegro-Software-RomPager\/3\.12,1,NA,0,NA,0,Cisco Systems,1,Cisco Conference Bridge Hardware,1,Cisco Media Termination Point
Allegro-Software-RomPager,1,NA,0,NA,0,magicolor\s\d{1\x2c4},2,NA,0,Minolta Copier
