# fingerprint file for http/default_scanner
# RE: 0 (none) 1 (yes/basic) 2 (yes/case insensitive) 3 (multiple entries) 4 (yes/basic/negated)
# server, RE?, Realm, RegExp?, path/file, RE?, title, RE?, body, RE?, Name, Variant Number
A-B WWW\/,1,NA,0,NA,0,Home Page,1,images\/rockcolor.gif,1,Rockwell Serial Adapter,1
Acme.Serve,1,NA,0,NA,0,NA,0,NA,0,APC InfraStruXure,1
ADH-Web,0,NA,0,NA,0,,0,Dedicated Micros,1,Dedicated Micros Camera,1
Agent-ListenServer-HttpSvr,1,NA,0,NA,0,NA,0,^\<\?xml version\x00href=\x22FrameworkLog.xsl\x22\?\>\<naLog\>,3,McAfee ePolicy Orchestrator,1
Agranat-EmWeb\/R5_2_\d,1,NA,0,NA,0,NA,0,NA,0,HP Printer,2
Agranat-EmWeb\/R5_2_\d,1,NA,0,NA,0,DigitalSender,1,NA,0,HP Scanner,1
Agranat-EmWeb\/R5_2_\d,1,NA,0,NA,0,^\w\w\-\w{1\x2c2}\d{1\x2c3},1,NA,0,Sharp Printer,1
Agranat-EmWeb\/R5_2_\d,1,NA,0,NA,0,INDEX PAGE,1,NA,0,Sharp Printer,1
Agranat-EmWeb\/R5_2_\d,1,NA,0,NA,0,\s-\s\w\w\-\d\d\d\d\w,1,NA,0,Sharp Printer,2
Agranat-EmWeb\/R5_2_\d,1,NA,0,NA,0,TOP PAGE,1,NA,0,Sharp Printer,3
Agranat-EmWeb\/R4_02,1,NA,0,NA,0,NA,0,NA,0,3COM Switch,1
Agranat-EmWeb\/,1,NA,0,NA,0,Module Home Page,1,NA,0,Cabletron Switch,1
Allegro-Software-RomPager\/2\.10,1,NA,0,/,0,superstack\sii\s,2,NA,0,3COM Switch,2
Allegro-Software-RomPager\/2,1,- Login,1,NA,0,Protected Object,1,Cyclades,1,Cyclades Out-of-band Management,1
Allegro-Software-RomPager\/3,1,NA,0,/main.htm,0,Main Page,0,k1.htm,1,Konica Minolta MFD 1,1
Allegro-Software-RomPager\/3\.12,1,NA,0,NA,0,^Digi One SP,1,NA,0,Digi One Print Server,1
Allegro-Software-RomPager\/3\.12,1,NA,0,NA,0,Cisco Systems,1,(Cisco Catalyst.*Gateway),1,Cisco IP Phone,1
Allegro-Software-RomPager\/3\.12,1,NA,0,NA,0,Cisco Systems,1,HREF\=\x22\/gatewaypage\?2,1,Cisco IP Phone,1
Allegro-Software-RomPager\/3\.12,1,NA,0,NA,0,Cisco Systems,1,Cisco IP Phone,1,Cisco IP Phone,1
Allegro-Software-RomPager\/3\.12,1,NA,0,NA,0,Cisco Systems,1,Cisco Media Termination Point Hardware,1,Cisco Media Termination Point,1
Allegro-Software-RomPager\/3\.12,1,NA,0,NA,0,Cisco Systems,1,Cisco Conference Bridge Hardware,1,Cisco Media Termination Point,1
Allegro-Software-RomPager\/3,1,NA,0,NA,0,PortServer TS,1,digi.com,1,Digi Switch,1
Allegro-Software-RomPager\/4,1,NA,0,NA,0,Network Management Card,0,NA,0,Eaton UPS,1
Allegro-Software-RomPager\/4,1,NA,0,/login.htm,0,Digi Connect SP,1,NA,0,Digi One Connect SP,1
Allegro-Software-RomPager\/4,1,NA,0,NA,0,Lexmark,1,NA,0,Lexmark Printer,1
Allegro-Software-RomPager\/4,1,NA,0,NA,0,Status,0,quantum\.com,1,Quantum PX502 NAS,1
Allegro-Software-RomPager\/4,1,NA,0,NA,0,Web Management Login,0,brocade_logo_no_text.gif,1,Brocade FastIron Switch,1
^Allegro-Software-RomPager\/4,1,NA,0,NA,0,,0,Cisco Unified IP Phone,1,Cisco IP Phone,1
^Allegro-Software-RomPager\/4,1,NA,0,NA,0,LOGIN,1,SIMPLEX\x2c TRUEALARM\x2c \& SafeLINC are used by,1,SimplexGrinnell Alarm,1
^Allegro-Software-RomPager\/4,1,NA,0,NA,0,iLO 3,0,Hewlett-Packard,1,HP ILOM,3
Allegro-Software-RomPager,1,NA,0,NA,0,magicolor\s\d{1\x2c4},2,NA,0,Minolta Copier,1
Allegro-Software-RomPager,1,NA,0,NA,0,Andover Controls Continuum,1,NA,0,Andover Controls Continuum Server,1
Allegro-Software-RomPager,1,NA,0,NA,0,Andover Continuum,0,NA,0,Andover Controls Continuum Server,1
Allegro-Software-RomPager,1,NA,0,NA,0,APC Management Web Server,1,NA,0,APC UPS,1
Allegro-Software-RomPager,1,NA,0,NA,0,Protected Object,1,APC Management Web Server,1,APC UPS,1
Allegro-Software-RomPager,1,APC Management Card,0,NA,0,Protected Object,1,NA,0,APC UPS,1
Allegro-Software-RomPager,1,,0,/./applet.html,0,NetBotz Appliances,0,NA,0,APC NetBotz Environmental Monitoring,1
Allegro-Software-RomPager,1,NA,0,NA,0,AudioCodes,0,NA,0,Audiocodes VOIP (SIP gateway),1
Allegro-Software-RomPager,1,NA,0,NA,0,Cisco Systems\x2c Inc.,0,NA,0,Cisco IP Phone,1
Allegro-Software-RomPager,1,NA,0,NA,0,NA,0,\>Cisco\sIP\sPhone,1,Cisco IP Phone,1
Allegro-Software-RomPager,1,NA,0,NA,0,NA,0,\>Cisco\sUnified\sWireless\sIP\sPhone,1,Cisco IP Phone,1
Allegro-Software-RomPager,1,NA,0,NA,0,NA,0,\>Cisco\sSystems\x2c\sInc\.\sIP\sPhone,1,Cisco IP Phone,1
Allegro-Software-RomPager,1,NA,0,NA,0,^DWL-\d+\w+,1,NA,0,D-Link WAP,1
Allegro-Software-RomPager,1,NA,0,NA,0,remote management unit,2,NA,0,Dell PowerVault Tape Library,1
Allegro-Software-RomPager,1,NA,0,NA,0,RMU Login,1,NA,0,Dell PowerVault Tape Library,1
Allegro-Software-RomPager,1,NA,0,NA,0,Digi One,1,NA,0,Digi Switch,1
Allegro-Software-RomPager,1,NA,0,NA,0,Emerson Network Power,1,NA,0,Emerson Network Power,1
Allegro-Software-RomPager,1,NA,0,NA,0,^Liebert OpenComms,1,NA,0,Emerson Network Power,1
Allegro-Software-RomPager,1,NA,0,NA,0,^Banner,1,NA,0,Foundry Network Device,1
Allegro-Software-RomPager,1,NA,0,NA,0,xerox\s,2,NA,0,Xerox WorkCentre MFD,1
Allegro-Software-RomPager,1,NA,0,NA,0,Home \- Phaser \d\d\d\d,1,XEROX CORPORATION,1,Xerox Phaser MFD,1
Allegro-Software-RomPager,1,NA,0,NA,0,\s*Home\s\-\s*,2,copyright\s[\s|\S]*\s20\d+\sxerox\scorp,2,Xerox WorkCentre MFD,1
Allegro-Software-RomPager,1,NA,0,NA,0,NA,0,Copyright \(c\) Xerox Corporation,1,Xerox WorkCentre MFD,1
Allegro-Software-RomPager,1,NA,0,NA,0,^Xerox WorkCentre (\S+\s\S+)\s\-,1,NA,0,Xerox WorkCentre MFD,1
Allegro-Software-RomPager,1,,0,NA,0,aler,0,printer; embedded web server; internet services,1,Xerox Phaser MFD,1
Amanda,0,NA,0,NA,0,NA,0,NA,0,Amanda Smart Network Telephony,1
AP HTTP Server,0,NA,0,NA,0,NA,0,frame name=\x22top\x22 src=\x22\/cgibin\/entry\x22,2,Nortel Networks ICB,1
Apache,0,NA,0,NA,0,Riverbed Technology\x2c Inc,1,riverbed-logo\.gif,1,Riverbed WAN Optimizer,1
Apache,0,NA,0,NA,0,StruxureWare Central,1,NA,0,Schneider Electric StruxureWare,1
Apache,0,NA,0,/parser.cgi?default.html,0,,0,\/parser\.cgi\?index2\.html,1,Canon Fiery Printer,1
Apache,0,NA,0,NA,0,NA,0,\+ location.host \+ \x22\/cgi-bin\/common\/issue,1,Avaya Communications Manager,1
Apache,0,NA,0,/cgi-bin/utility/sjcmain.cgi,0,Storage Device List,0,NA,0,Hitachi Storage Manager,1
Apache,0,NA,0,NA,0,Loading Server Page,0,\/webacs\/welcomeAction.do,1,Cisco Wireless Control System,1
Apache,0,NA,0,NA,0,HP BladeSystem Onboard Administrator,0,\/js\/debugger.js,1,HP Blade Manager,1
Apache,0,,0,//cgi-bin/webcgi/index,0,,0,ADEnabled,1,Dell Chassis Management Controller,1
Apache,0,,0,NA,0,InfraStruXure Central,1,www\.apc\.com,1,APC InfraStruXure,2
Apache\s+NetFile,1,NA,0,/cgi-bin/set_index.cgi,0,Web Status Monitor,0,top_main\.cgi,1,Ricoh Scanner,1
^Apache\/,1,NA,0,NA,0,Oracle Secure Global Desktop,0,tarantella\/resources,1,Oracle Secure Global Desktop,1
^Apache/1.0.3,1,NA,0,NA,0,,0,\/parser\.exe\?index2\.html,1,Canon Fiery Printer,1
^Apache-Coyote\/,1,NA,0,NA,0,NA,0,home page for the Seadragon Platform NOT,1,Cisco Communications Manager,1
^Apache-Coyote\/,1,,0,NA,0,CiscoWorks Network Compliance Manager,1,CWNCM,1,CiscoWorks NCM,1
^Apache-Coyote\/,1,NA,0,/app,0,Proteus Login,0,BlueCat Networks,1,BlueCat Proteus IP Manager,1
^Apache-Coyote\/,1,NA,0,NA,0,Apache Tomcat,1,NA,0,Apache Tomcat/Coyote,1
^Apache-Coyote\/,1,NA,0,NA,0,NA,0,document\.location\.href\=\'\/servlet\/StartServlet\',1,Oce Print Server,1
^Apache-Coyote\/,1,NA,0,NA,0,NA,0,MarkVision Professional,1,Lexmark Printer,1
^Apache-Coyote\/,1,NA,0,NA,0,Mitel Communications Director,0,esm_login.asp,1,Mitel Communications Director,1
^Apache,1,NA,0,NA,0,Cisco UCS Manager,0,Cisco Systems,1,Cisco UCS Manager,1
^Apache,1,NA,0,NA,0,Cisco TelePresence System Administration,0,Cisco Systems,1,Cisco TelePresence,1
^Apache,1,NA,0,NA,0,NA,0,var is EhealthWeb=true,1,CA EHealth,1
^Apache,1,NA,0,NA,0,MAXTOR CENTRAL AXIS,0,NA,0,MAXTOR NAS,1
^Apache,1,NA,0,page=\/pages\/queueTabs\.jsp,1,Web Printer Management Tool,0,NA,0,Xerox FreeFlow Accxes,1
^Apache,1,NA,0,NA,0,MS4W - MapServer 4 Windows,0,NA,0,MapServer 4 Windows,1
^Apache,1,NA,0,NA,0,Micronet PlatinumNAS,0,NA,0,Micronet Platinum NAS,1
^Apache,1,NA,0,NA,0,Cisco MDS,0,NA,0,Cisco MDS,1
^Apache,1,NA,0,NA,0,CiscoWorks Network Copmliance Manager,1,NA,0,CiscoWorks NCM,1
^Apache,1,NA,0,/appmng/portal/portal.jsf,1,,0,NA,0,Websense,1
^Apache,1,NA,0,NA,0,Index of,1,NA,0,Apache No Index,1
^Apache,1,NA,0,NA,0,WebDVR,0,NA,0,Bosch WebDVR,1
^Apache,1,NA,0,NA,0,LinkStation\s\-\s,1,NA,0,Buffalo LinkStation,1
^Apache,1,NA,0,/cgi-bin/pcast.cgi,0,NA,0,\<meta name\=\x22Author\x22 content\=\x22BUFFALO INC\.\x22\>,2,Buffalo PCAST media server,1
^Apache,1,NA,0,NA,0,TeraStation PRO\s\-,1,NA,0,Buffalo TeraStation Pro,1
^Apache,1,NA,0,NA,0,TeraStation,0,NA,0,Buffalo TeraStation,1
^Apache,1,NA,0,NA,0,Wireless Control System,0,NA,0,Cisco Wireless Control System,1
